id,value
id_0,37.17338795887014
id_1,13.943864749735745
id_2,11.049341500013
id_3,17.916029707164622
id_4,27.28955495524543
id_5,121.36812961365754
id_6,25.987238261143446
id_7,35.38969154112313
id_8,38.63009852736004
id_9,21.57088533604877
id_10,26.41217775398961
id_11,39.27308852698637
id_12,39.93333440594134
id_13,13.868409489515468
id_14,24.715942569753807
id_15,37.61384482059138
id_16,28.797520542268558
id_17,49.00123282770138
id_18,20.028346902342367
id_19,12.895506357222144
id_20,28.489663104503173
id_21,30.33180172319742
id_22,70.33097469840905
id_23,40.9375661190562
id_24,15.008167700420877
id_25,14.830189741393106
id_26,47.399796559172
id_27,30.293937421425312
id_28,69.2246291738856
id_29,17.566563699582737
id_30,15.107729164720254
id_31,46.90829688178468
id_32,36.97282131349817
id_33,34.989914484648395
id_34,59.05805009681166
id_35,36.59624832945683
id_36,15.930368109827851
id_37,47.69019393515127
id_38,20.317551324670124
id_39,4.074224192272735
id_40,25.12536455641297
id_41,11.517816702163811
id_42,43.16051469951914
id_43,29.698680297288373
id_44,60.01421175419929
id_45,39.24880062083235
id_46,35.021628602449184
id_47,21.897265693063247
id_48,24.72003348193966
id_49,65.88160722290559
id_50,26.492709280799506
id_51,52.76320878867571
id_52,22.067462834605223
id_53,33.10792661293877
id_54,19.085498331414414
id_55,38.75637663665075
id_56,38.93957613274668
id_57,26.02256927050191
id_58,31.50788377078311
id_59,13.752236419848183
id_60,60.15968457907348
id_61,88.6010135477014
id_62,34.048302614401635
id_63,21.80786889502407
id_64,16.715011297404516
id_65,40.41645046185641
id_66,35.22592013342965
id_67,13.174873726507569
id_68,59.86861141363926
id_69,7.388250148387614
id_70,19.10736581331497
id_71,17.144307290220574
id_72,30.545939226142327
id_73,19.848644067547145
id_74,37.281540834629524
id_75,63.093485547487134
id_76,14.090959844615412
id_77,40.30140454568629
id_78,76.18205706593088
id_79,42.66409765686555
id_80,40.362338242958934
id_81,26.203405955781243
id_82,15.040297003952139
id_83,41.63664046450046
id_84,12.871707135583272
id_85,10.235350854220673
id_86,29.144305610927404
id_87,93.68813330520571
id_88,30.544484894935955
id_89,46.443442530107035
id_90,18.572460076924884
id_91,70.53941080029111
id_92,59.03867988192712
id_93,8.866210584074073
id_94,22.338962992552887
id_95,27.820684002464347
id_96,22.81593352771612
id_97,8.405037639685188
id_98,11.47655544869832
id_99,38.37267637881951
id_100,20.754859180968587
id_101,50.65837515844599
id_102,30.964840852328436
id_103,35.85794768995028
id_104,31.371508800853732
id_105,24.162043665376135
id_106,17.78120038992278
id_107,34.2750594166466
id_108,13.082024324746257
id_109,74.24704700547791
id_110,28.513614030641225
id_111,67.86795422858327
id_112,21.306400068893495
id_113,20.95918480367645
id_114,29.55865692808108
id_115,34.375868472116395
id_116,33.386036575340036
id_117,21.022235165922005
id_118,28.583844763708274
id_119,45.87875068155823
id_120,23.231967431759827
id_121,33.11016869612116
id_122,61.215447700175496
id_123,9.672789001700586
id_124,36.38628402810109
id_125,6.245416047895544
id_126,27.675259529745322
id_127,18.00542651362264
id_128,28.0446329911547
id_129,48.06734726817328
id_130,12.088116829639725
id_131,44.182935304957496
id_132,16.158639623244802
id_133,7.988498999606913
id_134,23.86684285908462
id_135,28.728033225587986
id_136,81.71831500182032
id_137,106.07210076383333
id_138,24.75050809669464
id_139,54.12312450010934
id_140,77.07789713765585
id_141,15.16549707302958
id_142,39.559715106826786
id_143,30.966089281998308
id_144,28.12909388068169
id_145,13.153500949640552
id_146,34.200951738096094
id_147,45.106833007072154
id_148,31.4421913837431
id_149,15.932039141976862
id_150,48.647793564499864
id_151,39.52809201121656
id_152,59.85286112400928
id_153,23.679612638111138
id_154,12.579450079884783
id_155,65.76190393309193
id_156,15.392928758880421
id_157,23.597429019324263
id_158,38.727023019211984
id_159,20.629606771255084
id_160,15.139322860841652
id_161,119.37382626297962
id_162,65.16890906999508
id_163,27.337963679985485
id_164,36.5522389706397
id_165,32.54684028148924
id_166,55.02702455278771
id_167,60.12394148261252
id_168,11.737956249746485
id_169,21.789692621963795
id_170,28.84510545149831
id_171,27.44463189792809
id_172,26.43843053563447
id_173,35.14873965744961
id_174,89.17016884294554
id_175,57.04215583181858
id_176,17.62975015649078
id_177,25.121247059341766
id_178,65.45621194760398
id_179,29.374909257530845
id_180,15.12760496688787
id_181,28.39993311761932
id_182,25.189023310950983
id_183,23.361549475374616
id_184,16.398729654415387
id_185,19.249585689355094
id_186,37.244336216414055
id_187,45.2144149672322
id_188,75.69123045752461
id_189,47.833608143450654
id_190,11.851447034796994
id_191,24.908409288282876
id_192,16.741826167240532
id_193,27.571029203470836
id_194,28.35021689021267
id_195,16.715240310453208
id_196,15.745969919918181
id_197,14.759717672995723
id_198,22.523944756802653
id_199,14.344974839393263
id_200,7.910660387034078
id_201,30.53223331329063
id_202,29.33616069867705
id_203,77.52793980492548
id_204,10.845925901317196
id_205,16.70084749484705
id_206,67.1544395385509
id_207,52.05780515385297
id_208,23.078675483371697
id_209,27.751309390695603
id_210,51.37681495832736
id_211,31.892837741136017
id_212,29.910230429704562
id_213,-3.3877198612900976
id_214,12.508316112810313
id_215,7.863669348506541
id_216,41.42402926927748
id_217,12.275405375209074
id_218,28.999290506759564
id_219,100.39788221431016
id_220,49.9254754228589
id_221,18.881793155427065
id_222,34.93034977013618
